State,City,E_Black,E_White,O_Black,O_White,V_Black,V_White,n_Black,n_White,smr_Black,z_Black,smr_White,z_White,rho,rho_var,d_z,n_both,black_share_both,min_race_n
Florida,Marion,37.29958512959954,82.64864906500829,44.0,78.0,27.377881594326936,56.95852498358574,173.0,325.0,1.1772615981743566,1.2805654296123126,0.944092307965535,-0.6159527445262961,0.22072239576967334,0.028016979299642766,1.8965181741386088,498.0,0.3473895582329317,20
Florida,Martin,10.58446577662658,24.44001336837983,10.0,28.0,7.6844085308161585,17.640006688864588,48.0,108.0,0.9472716332564243,-0.21084041550583368,1.142741969662843,0.8476157039689144,-0.1876000023866738,0.0981240612972604,-1.0584561194747482,156.0,0.3076923076923077,20
Florida,Miami-Dade,1708.9936780429243,1739.3160415742707,1831.0,1718.0,1046.383827079356,1000.2985994517852,4837.0,4628.0,1.0713698585283755,3.771697254585808,0.98774810608426,-0.6739718044401357,0.0812656383750113,0.0006889228650763954,4.445669059025944,9465.0,0.511040676175383,20
Florida,Monroe,4.621442947701471,34.80377417295214,6.0,40.0,3.4180590568934166,24.23377101139457,22.0,138.0,1.2691735642427164,0.7456498987833485,1.1471861280777433,1.0555468577646165,0.10105385302497179,0.18004483329745086,-0.309896958981268,160.0,0.1375,20
Florida,Nassau,5.771642189291791,17.878699162444214,9.0,18.0,4.00615208610713,12.568543132151706,23.0,75.0,1.5147547824428362,1.6129390144528506,1.0066000774311414,0.03421537700351703,0.40867517380335394,0.15958202216478737,1.5787236374493336,98.0,0.23469387755102042,20
Florida,Okaloosa,7.2631605669058,22.784235219153306,4.0,22.0,5.7411713019412165,17.367935175326256,43.0,114.0,0.5796608174231783,-1.3618779600510027,0.9663190475541922,-0.18817947274470567,-0.511050921720857,0.14228655219806585,-1.173698487306297,157.0,0.27388535031847133,20
Florida,Okeechobee,3.4482008979846044,13.703566545816203,2.0,9.0,2.7743420047849514,10.521155039426269,20.0,71.0,0.6331997951968827,-0.8694584122748616,0.6688460936452835,-1.4500920867593228,-0.05476797475442205,0.2893591560878092,0.5806336744844611,91.0,0.21978021978021978,20
Florida,Orange,255.8489732962642,262.6523010251387,236.0,238.0,188.04728638243418,186.98782936279233,1089.0,1062.0,0.922570498172721,-1.447453137893023,0.9063192648169789,-1.8028134608654838,0.017772160387077157,0.005583271854539012,0.3553603229724607,2151.0,0.5062761506276151,20
Florida,Osceola,12.607303929907646,42.50432904997446,13.0,31.0,8.976021777113736,31.175587156996666,56.0,194.0,1.0299600949357952,0.13107341245645596,0.732484396242864,-2.0604115426925196,0.34083329908557247,0.07372914203691462,2.1914849551489755,250.0,0.224,20
Florida,Palm Beach,327.677046465893,393.5097695765689,505.0,393.0,232.2690950396377,261.798697126829,1265.0,1364.0,1.5403271052734517,11.635076483415466,0.9987062006682811,-0.03150577538366036,0.4332894369049741,0.003853874155601394,11.666582258799126,2629.0,0.4811715481171548,20
