State,City,shr_actual,shr_cleared,ra_actual,ra_cleared,agency_years,ratio_actual,q_shr,q_ra,d
California,Santa Clara,2076,1588,1929.0,1416.0,314,1.0762052877138413,0.7649325626204239,0.7340590979782271,-0.030873464642196757
California,Santa Cruz,375,280,355.0,238.0,109,1.056338028169014,0.7466666666666667,0.6704225352112676,-0.0762441314553991
California,Shasta,297,244,265.0,200.0,79,1.120754716981132,0.8215488215488216,0.7547169811320755,-0.06683184041674606
California,Siskiyou,95,77,86.0,66.0,53,1.1046511627906976,0.8105263157894737,0.7674418604651163,-0.04308445532435734
California,Solano,818,572,733.0,492.0,177,1.115961800818554,0.6992665036674817,0.6712141882673943,-0.028052315400087346
California,Sonoma,505,393,461.0,332.0,150,1.0954446854663775,0.7782178217821782,0.720173535791757,-0.05804428599042122
California,Stanislaus,1016,798,925.0,716.0,183,1.0983783783783785,0.7854330708661418,0.774054054054054,-0.01137901681208775
California,Sutter,156,117,142.0,94.0,58,1.0985915492957747,0.75,0.6619718309859155,-0.0880281690140845
California,Tehama,105,86,99.0,75.0,56,1.0606060606060606,0.819047619047619,0.7575757575757576,-0.061471861471861455
California,Tulare,1201,858,1128.0,790.0,209,1.0647163120567376,0.7144046627810158,0.700354609929078,-0.014050052851937722
California,Tuolumne,52,47,48.0,43.0,32,1.0833333333333333,0.9038461538461539,0.8958333333333334,-0.008012820512820484
California,Ventura,1028,678,935.0,537.0,255,1.0994652406417111,0.6595330739299611,0.574331550802139,-0.08520152312782203
California,Yolo,248,181,236.0,148.0,99,1.0508474576271187,0.7298387096774194,0.6271186440677966,-0.10272006560962277
California,Yuba,154,132,160.0,115.0,60,0.9625,0.8571428571428571,0.71875,-0.1383928571428571
Colorado,Arapahoe,789,631,718.0,423.0,137,1.0988857938718664,0.7997465145754119,0.5891364902506964,-0.21061002432471554
Colorado,Adams,449,374,416.0,294.0,151,1.0793269230769231,0.8329621380846325,0.7067307692307693,-0.1262313688538632
Colorado,Alamosa,24,23,24.0,20.0,20,1.0,0.9583333333333334,0.8333333333333334,-0.125
Colorado,Archuleta,11,9,10.0,7.0,9,1.1,0.8181818181818182,0.7,-0.11818181818181828
Colorado,Boulder,161,141,145.0,121.0,88,1.110344827586207,0.8757763975155279,0.8344827586206897,-0.04129363889483828
Colorado,Crowley,4,3,4.0,3.0,4,1.0,0.75,0.75,0.0
Colorado,Douglas,75,67,72.0,45.0,39,1.0416666666666667,0.8933333333333333,0.625,-0.2683333333333333
Colorado,Elbert,4,3,4.0,2.0,3,1.0,0.75,0.5,-0.25
Colorado,El Paso,825,700,757.0,571.0,84,1.0898282694848085,0.8484848484848485,0.7542932628797886,-0.09419158560505991
Colorado,Fremont,44,36,42.0,22.0,27,1.0476190476190477,0.8181818181818182,0.5238095238095238,-0.2943722943722944
Colorado,Jefferson,364,312,339.0,270.0,128,1.0737463126843658,0.8571428571428571,0.7964601769911505,-0.060682680151706636
Colorado,La Plata,35,30,32.0,22.0,27,1.09375,0.8571428571428571,0.6875,-0.1696428571428571
Colorado,Larimer,157,145,138.0,125.0,74,1.1376811594202898,0.9235668789808917,0.9057971014492754,-0.01776977753161635
Colorado,Mesa,144,119,141.0,103.0,64,1.0212765957446808,0.8263888888888888,0.7304964539007093,-0.09589243498817956
Colorado,Otero,26,24,23.0,19.0,22,1.1304347826086956,0.9230769230769231,0.8260869565217391,-0.09698996655518399
Colorado,Park,23,19,20.0,16.0,16,1.15,0.8260869565217391,0.8,-0.02608695652173909
Colorado,Pueblo,287,229,262.0,184.0,57,1.0954198473282444,0.7979094076655052,0.7022900763358778,-0.09561933132962741
Colorado,Rio Blanco,10,9,9.0,7.0,10,1.1111111111111112,0.9,0.7777777777777778,-0.12222222222222223
Colorado,Teller,31,27,28.0,19.0,23,1.1071428571428572,0.8709677419354839,0.6785714285714286,-0.19239631336405527
Colorado,Denver,2362,1702,2216.0,1266.0,39,1.065884476534296,0.720575783234547,0.5712996389891697,-0.14927614424537727
Connecticut,Hartford,1442,959,1380.0,940.0,297,1.0449275362318842,0.6650485436893204,0.6811594202898551,0.016110876600534674
