attribute,group_set,model_a,model_b,metric,quantity,diff,diff_lo,diff_hi,significant,stratum,n_strata,n_strata_used,min_stratum_n,n_standardized,signed_as,gap_a,gap_b
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,fpr,amplification,0.6728812802253703,0.5794491522429261,0.776981829111473,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,selection_rate,signed_gap,-0.04203907359513981,-0.04485229949601482,-0.03925656840036334,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.060906495484226886
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,tpr,signed_gap,-0.041543029702501344,-0.04499573192626466,-0.03821279041456943,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.04570822381200934
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a50_mb,fpr,signed_gap,-0.044469591279335086,-0.049962325844404326,-0.03880023861114333,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.04631859823564488
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,gap,0.04594042818011013,0.04301154536299682,0.04897454977143539,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,amplification,0.6951369067855392,0.6325210161729058,0.7627734943019158,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,gap,0.04363164570011413,0.039965981925747046,0.04750984897530882,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,amplification,0.660202101535293,0.5960126086362462,0.7385511202448498,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,gap,0.051825135225139374,0.04591060471811871,0.057934850451064,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,amplification,0.7841799831056628,0.686583249240395,0.8890724086789695,True,State,51,39,100,182377,,,
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,selection_rate,signed_gap,-0.04594042818011013,-0.04897454977143539,-0.04301154536299682,True,State,51,39,100,182377,Black-White,-0.1029455690793667,-0.05700514089925657
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,tpr,signed_gap,-0.04363164570011413,-0.04750984897530882,-0.039965981925747046,True,State,51,39,100,182377,Black-White,-0.08725125351451068,-0.043619607814396555
Victim Race,named_n>=5000,graphsage_geo_blind_mb,graphsage_fairloss_a100_mb,fpr,signed_gap,-0.051825135225139374,-0.057934850451064,-0.04591060471811871,True,State,51,39,100,182377,Black-White,-0.09078818951497997,-0.03896305428984059
Victim Race,named_n>=5000,graphsage_geo_blind_mb,xgboost,selection_rate,gap,-0.0701340544751991,-0.07377555250736552,-0.0664327716426847,True,State,51,39,100,182377,,,
