State,City,mean_Black,mean_White,size_Black,size_White,min_race_n,gap_pp,weight
Florida,Orange,0.609375,0.6226415094339622,64.0,106.0,10,-1.3266509433962237,170.0
Florida,Palm Beach,0.582089552238806,0.515527950310559,134.0,161.0,10,6.6561601928247,295.0
Florida,Pinellas,0.375,0.5206611570247934,40.0,121.0,10,-14.566115702479344,161.0
Florida,Polk,0.6470588235294118,0.6697247706422018,34.0,109.0,10,-2.266594711279002,143.0
Florida,Putnam,0.9090909090909091,0.8947368421052632,11.0,19.0,10,1.4354066985645897,30.0
Florida,Seminole,0.6153846153846154,0.7777777777777778,13.0,36.0,10,-16.23931623931624,49.0
Florida,St. Lucie,0.7931034482758621,0.6666666666666666,29.0,30.0,10,12.643678160919547,59.0
Florida,Volusia,0.5714285714285714,0.5882352941176471,14.0,51.0,10,-1.6806722689075682,65.0
Georgia,Bibb,0.5204081632653061,0.5454545454545454,98.0,33.0,10,-2.504638218923927,131.0
Georgia,Chatham,0.46441947565543074,0.4659090909090909,267.0,88.0,10,-0.1489615253660148,355.0
Georgia,Clarke,0.6206896551724138,0.47619047619047616,29.0,21.0,10,14.449917898193764,50.0
Georgia,Clayton,0.23148148148148148,0.3380281690140845,108.0,71.0,10,-10.654668753260301,179.0
Georgia,Cobb,0.323943661971831,0.46835443037974683,71.0,79.0,10,-14.441076840791583,150.0
Georgia,Coffee,0.4166666666666667,0.6153846153846154,12.0,13.0,10,-19.871794871794872,25.0
Georgia,Colquitt,0.1,0.09090909090909091,10.0,11.0,10,0.9090909090909094,21.0
Georgia,De Kalb,0.39303482587064675,0.37404580152671757,402.0,131.0,10,1.8989024343929184,533.0
Georgia,Dougherty,0.36538461538461536,0.3684210526315789,52.0,19.0,10,-0.30364372469635637,71.0
Georgia,Fulton,0.4230927835051546,0.45560747663551404,2425.0,428.0,10,-3.251469313035943,2853.0
Georgia,Glynn,0.5,0.6363636363636364,18.0,11.0,10,-13.636363636363635,29.0
Georgia,Gwinnett,0.3283582089552239,0.32456140350877194,67.0,114.0,10,0.3796805446451945,181.0
Georgia,Houston,0.2857142857142857,0.23076923076923078,14.0,13.0,10,5.494505494505492,27.0
Georgia,Lowndes,0.4857142857142857,0.75,35.0,20.0,10,-26.42857142857143,55.0
Georgia,Muscogee,0.4155844155844156,0.36363636363636365,77.0,44.0,10,5.1948051948051965,121.0
Georgia,Richmond,0.5274725274725275,0.5230769230769231,182.0,65.0,10,0.439560439560438,247.0
Georgia,Tift,0.6363636363636364,0.4444444444444444,11.0,18.0,10,19.191919191919194,29.0
Illinois,Cook,0.40451807228915665,0.34584897788902796,6640.0,2397.0,10,5.8669094400128685,9037.0
