block_key,min_n,State,City,n,n_unsolved,expected_unsolved,smr,z,p_value,n_priority,white_share,black_share,q_value,flag
county,20,California,Fresno,857,305,308.1688329958307,0.9897172177827809,-0.23227657752347836,0.8461153884611539,6,0.7327887981330222,0.17152858809801633,0.9999545499995455,
county,20,Texas,Tarrant,1334,322,325.7550337229573,0.9884728297824222,-0.2492993728349458,0.825917408259174,99,0.5997001499250375,0.3808095952023988,0.9999545499995455,
county,20,Michigan,Ingham,144,35,36.36109056901131,0.9625673887193225,-0.26962695640070344,0.8673132686731326,4,0.4791666666666667,0.4722222222222222,1.0,
county,20,Texas,Henderson,52,7,7.671371183261232,0.9124835486091262,-0.27142827569971445,0.9909009099090091,7,0.8076923076923077,0.19230769230769232,1.0,
county,20,Texas,Wood,25,3,3.52288177467463,0.8515755542994562,-0.3043492595972514,1.0,2,0.88,0.12,1.0,
county,20,Texas,Kaufman,69,13,14.043904888378016,0.9256684734997105,-0.3301700618971469,0.8963103689631037,4,0.6086956521739131,0.391304347826087,1.0,
county,20,Texas,Howard,34,5,5.797442310261167,0.8624492892581723,-0.3700561092112763,0.9413058694130587,3,0.8823529411764706,0.11764705882352941,1.0,
county,20,Texas,Van Zandt,20,3,3.648919935022403,0.8221610924388729,-0.38346990164187317,0.9793020697930207,2,0.95,0.05,1.0,
county,20,California,Tulare,328,94,97.14952184066078,0.9675806758387709,-0.3891928141245857,0.7433256674332567,6,0.9329268292682927,0.027439024390243903,0.9490675932406759,
county,20,Texas,Kerr,28,6,7.1203453323261625,0.8426557589503663,-0.5247162551667659,0.7929207079292071,1,0.9642857142857143,0.03571428571428571,0.9859796629032749,
county,20,California,San Luis Obispo,78,17,19.10821867957994,0.8896695335691915,-0.5704233137084735,0.6833316668333167,2,0.9743589743589743,0.0,0.8964809941024247,
county,20,Texas,Smith,159,25,27.87104196383428,0.8969883520121074,-0.6178018089980245,0.6191380861913809,13,0.5345911949685535,0.46540880503144655,0.8766014487660144,
county,20,Texas,Victoria,67,10,11.9518907869113,0.8366876988995879,-0.6357195674688572,0.6445355464453555,7,0.8955223880597015,0.1044776119402985,0.8777960299208174,
county,20,California,Imperial,81,19,21.514728787840717,0.8831159429133988,-0.6441991617878973,0.6319368063193681,3,0.8148148148148148,0.09876543209876543,0.8774372562743724,
county,20,Texas,Lamar,27,5,6.533010902422308,0.7653438934482876,-0.7275357992366029,0.6381361863813618,0,0.7777777777777778,0.2222222222222222,0.8774372562743724,
county,20,Texas,Robertson,22,2,3.232649814999673,0.6186874899718151,-0.7518891228887633,0.7159284071592841,1,0.45454545454545453,0.5454545454545454,0.9282477157689637,
county,20,Michigan,Muskegon,59,12,14.631186462397714,0.8201658854420393,-0.823842754759372,0.5029497050294971,4,0.423728813559322,0.5254237288135594,0.790349536474924,
