attribute,model,group_set,n_groups,groups,base_rate_gap,base_rate_gap_lo,base_rate_gap_hi,selection_rate_gap,selection_rate_gap_lo,selection_rate_gap_hi,selection_rate_max_group,selection_rate_min_group,selection_rate_amplification,selection_rate_amplification_lo,selection_rate_amplification_hi,tpr_gap,tpr_gap_lo,tpr_gap_hi,tpr_max_group,tpr_min_group,tpr_amplification,tpr_amplification_lo,tpr_amplification_hi,fpr_gap,fpr_gap_lo,fpr_gap_hi,fpr_max_group,fpr_min_group,fpr_amplification,fpr_amplification_lo,fpr_amplification_hi
Victim Race,xgboost_blind,named_n>=5000,2,Black | White,0.047561308055325324,0.04011364860115447,0.05583839189947232,0.03174954181529832,0.023268765753280234,0.0403627521727155,White,Black,0.6675498028432253,0.483851140520284,0.868809738313016,0.0006858743221149766,0.00014530588833579217,0.011451754586874382,Black,White,0.014420846485490654,0.003201912065696766,0.24771377403114458,0.059532411505742955,0.0444633463333836,0.07482654182598526,White,Black,1.251698364487628,0.8986485704030156,1.6928557278663348
Victim Sex,graphsage_geo,named_all,2,Female | Male,0.08030538052987735,0.07069143170033546,0.08985997374414863,0.21412239833913282,0.20482424102501345,0.22340879033974806,Female,Male,2.6663518300553886,2.4052385525827424,2.9925160626836247,0.19348009715456083,0.1837170421934145,0.2028835303486162,Female,Male,2.409304281704726,2.124336035760797,2.747123029313373,0.18285783974460362,0.16335531241244264,0.20177603786926115,Female,Male,2.2770309851974613,1.9781471264406694,2.678160301748727
Victim Sex,graphsage_geo,named_n>=1000,2,Female | Male,0.08030538052987735,0.07069143170033546,0.08985997374414863,0.21412239833913282,0.20482424102501345,0.22340879033974806,Female,Male,2.6663518300553886,2.4052385525827424,2.9925160626836247,0.19348009715456083,0.1837170421934145,0.2028835303486162,Female,Male,2.409304281704726,2.124336035760797,2.747123029313373,0.18285783974460362,0.16335531241244264,0.20177603786926115,Female,Male,2.2770309851974613,1.9781471264406694,2.678160301748727
Victim Sex,graphsage_geo,named_n>=5000,2,Female | Male,0.08030538052987735,0.07069143170033546,0.08985997374414863,0.21412239833913282,0.20482424102501345,0.22340879033974806,Female,Male,2.6663518300553886,2.4052385525827424,2.9925160626836247,0.19348009715456083,0.1837170421934145,0.2028835303486162,Female,Male,2.409304281704726,2.124336035760797,2.747123029313373,0.18285783974460362,0.16335531241244264,0.20177603786926115,Female,Male,2.2770309851974613,1.9781471264406694,2.678160301748727
Victim Sex,graphsage_geo_blind,named_all,2,Female | Male,0.08030538052987735,0.07181228506006856,0.08856863303317013,0.07740950112625467,0.06717642588366685,0.08710760425582925,Female,Male,0.9639391609314985,0.8252935753982298,1.1073914936346525,0.05456495912221593,0.04328636501499064,0.06545901190189873,Female,Male,0.6794682842193273,0.5236478014311864,0.850088571325075,0.05536960023519183,0.037212391933754155,0.07505793428004262,Female,Male,0.6894880501137998,0.4560228276987689,0.9507343418311006
Victim Sex,graphsage_geo_blind,named_n>=1000,2,Female | Male,0.08030538052987735,0.07181228506006856,0.08856863303317013,0.07740950112625467,0.06717642588366685,0.08710760425582925,Female,Male,0.9639391609314985,0.8252935753982298,1.1073914936346525,0.05456495912221593,0.04328636501499064,0.06545901190189873,Female,Male,0.6794682842193273,0.5236478014311864,0.850088571325075,0.05536960023519183,0.037212391933754155,0.07505793428004262,Female,Male,0.6894880501137998,0.4560228276987689,0.9507343418311006
Victim Sex,graphsage_geo_blind,named_n>=5000,2,Female | Male,0.08030538052987735,0.07181228506006856,0.08856863303317013,0.07740950112625467,0.06717642588366685,0.08710760425582925,Female,Male,0.9639391609314985,0.8252935753982298,1.1073914936346525,0.05456495912221593,0.04328636501499064,0.06545901190189873,Female,Male,0.6794682842193273,0.5236478014311864,0.850088571325075,0.05536960023519183,0.037212391933754155,0.07505793428004262,Female,Male,0.6894880501137998,0.4560228276987689,0.9507343418311006
Victim Sex,graphsage_temporal_blind,named_all,2,Female | Male,0.08030538052987735,0.07125259938984685,0.08914735785212556,0.06760846307286705,0.05802233409925284,0.07654331227083405,Female,Male,0.84189207032913,0.7091776419920254,0.9825838358913624,0.04267348584063135,0.03143211567596861,0.053555692106149654,Female,Male,0.5313901205505754,0.3827142553906152,0.689037356455136,0.057426447620286314,0.03820743803767463,0.07668150974804322,Female,Male,0.7151008717145796,0.46722231787591356,0.9850406740506173
Victim Sex,graphsage_temporal_blind,named_n>=1000,2,Female | Male,0.08030538052987735,0.07125259938984685,0.08914735785212556,0.06760846307286705,0.05802233409925284,0.07654331227083405,Female,Male,0.84189207032913,0.7091776419920254,0.9825838358913624,0.04267348584063135,0.03143211567596861,0.053555692106149654,Female,Male,0.5313901205505754,0.3827142553906152,0.689037356455136,0.057426447620286314,0.03820743803767463,0.07668150974804322,Female,Male,0.7151008717145796,0.46722231787591356,0.9850406740506173
Victim Sex,graphsage_temporal_blind,named_n>=5000,2,Female | Male,0.08030538052987735,0.07125259938984685,0.08914735785212556,0.06760846307286705,0.05802233409925284,0.07654331227083405,Female,Male,0.84189207032913,0.7091776419920254,0.9825838358913624,0.04267348584063135,0.03143211567596861,0.053555692106149654,Female,Male,0.5313901205505754,0.3827142553906152,0.689037356455136,0.057426447620286314,0.03820743803767463,0.07668150974804322,Female,Male,0.7151008717145796,0.46722231787591356,0.9850406740506173
