family,timestamp,model,tag,seed,attribute,blind,group_set,params,notes,metric,value,lo,hi,std
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},n_params,17729.0,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},n_params,17729.0,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},precision,0.781409515214755,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},precision,0.7841674407803064,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},precision,0.778201670722884,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},sensitivity,0.7113187687726235,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},sensitivity,0.6934767540369163,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},sensitivity,0.3037250019253972,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},specificity,0.5728299807109396,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},specificity,0.5902452466244145,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},specificity,0.8141636814549462,,,
ablation,2026-07-23T15:46:15,graphsage,sweep_aggr,42.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},train_seconds,52.0,,,
ablation,2026-07-23T15:46:56,graphsage,sweep_aggr,43.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},train_seconds,41.1,,,
ablation,2026-07-23T15:47:03,graphsage,sweep_aggr,44.0,,False,,"{""aggr"": ""max"", ""dropout"": ""0.3"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},train_seconds,7.7,,,
ablation,2026-07-23T15:40:01,graphsage,sweep_dropout,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.0"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},auc,0.7105677000701406,,,
ablation,2026-07-23T15:40:39,graphsage,sweep_dropout,42.0,,False,,"{""aggr"": ""mean"", ""dropout"": ""0.5"", ""edge_type"": ""geo"", ""hidden_dim"": ""64.0"", ""k_neighbors"": ""20.0"", ""lr"": ""0.005"", ""max_epochs"": ""200.0"", ""num_layers"": ""2.0"", ""patience"": ""20.0"", ""val_size"": ""0.15"", ""weight_decay"": ""0.0005""}",{},auc,0.7104770849003531,,,
