model,attribute,criterion,lambda,n_eval,acc_auc,acc_mcc,acc_f1,acc_sensitivity,acc_specificity,acc_balanced_accuracy,acc_precision,dp_gap,dp_amplification,dp_amplification_lo,dp_amplification_hi,tpr_gap,tpr_amplification,base_rate_gap,groups,thresholds
graphsage_geo,Victim Race,dp,0.0,28549,0.7102985410525524,0.28115133925040076,0.7218881708345041,0.6595810227972889,0.6398104265402843,0.6496957246687867,0.7971949857266973,0.10817650561209236,2.2826852370653183,1.826856809029975,3.000284172528169,0.08538053341584617,1.801656302894368,0.047390022879881144,Black | White,Black=0.500; White=0.500
graphsage_geo,Victim Race,tpr,0.1,28549,0.7102985410525524,0.2814013708102461,0.721758439441212,0.659221606079277,0.6404717293067342,0.6498466676930057,0.7974038879572697,0.10071254187001821,2.1251844955908323,1.6951581456456652,2.771609600774398,0.07830681090788227,1.6523902321458146,0.047390022879881144,Black | White,Black=0.497; White=0.502
graphsage_geo,Victim Race,tpr,0.2,28549,0.7102985410525524,0.2818069874901018,0.7219942667640942,0.6595296775518587,0.640581946434476,0.6500558119931673,0.7975288712281138,0.09399793680693425,1.9834963373026757,1.5955370612388864,2.6183031006175863,0.07116529318233367,1.5016935814256807,0.047390022879881144,Black | White,Black=0.495; White=0.503
graphsage_geo,Victim Race,tpr,0.3,28549,0.7102985410525524,0.28257137853868747,0.7226871875526597,0.6606079277058944,0.640251295051251,0.6504296113785727,0.797644141351519,0.08528791045925621,1.7997018206856397,1.4643388655986755,2.324839682404353,0.0620387974340757,1.3091109407422024,0.047390022879881144,Black | White,Black=0.492; White=0.504
graphsage_geo,Victim Race,tpr,0.4,28549,0.7102985410525524,0.2838808132979456,0.7227967625899281,0.6602998562333128,0.6420147690951173,0.6511573126642151,0.798361062825925,0.07448978737008827,1.5718453556964203,1.251481351535875,2.052466490073286,0.05134237567904765,1.0834005252368095,0.047390022879881144,Black | White,Black=0.490; White=0.506
graphsage_geo,Victim Race,tpr,0.5,28549,0.7102985410525524,0.2844346945950866,0.7228312812728397,0.660145820497022,0.6427862889893089,0.6514660547431654,0.7986706423158156,0.0684487342883715,1.4443701464729737,1.12696419992951,1.8873048650763316,0.04599416480153373,0.9705453174841153,0.047390022879881144,Black | White,Black=0.488; White=0.508
graphsage_geo,Victim Race,tpr,0.6,28549,0.7102985410525524,0.284031093664969,0.7227500140536286,0.660145820497022,0.6423454204783423,0.6512456204876822,0.7984722394733573,0.06089638075862125,1.2850042489528755,0.9866796911190548,1.690238413797375,0.03904431825065968,0.8238932137598834,0.047390022879881144,Black | White,Black=0.486; White=0.509
graphsage_geo,Victim Race,tpr,0.7,28549,0.7102985410525524,0.28276668265146665,0.7222643842932231,0.6596837132881496,0.6414636834564091,0.6505736983722794,0.7979628594497237,0.05211476490313793,1.0996990871946302,0.8387808070110426,1.4806593291775085,0.030412855272383577,0.6417565011409814,0.047390022879881144,Black | White,Black=0.483; White=0.510
graphsage_geo,Victim Race,tpr,0.8,28549,0.7102985410525524,0.28190924662463573,0.7221176272234243,0.6597350585335798,0.6404717293067342,0.650103393920157,0.7975296381354354,0.044604514792167094,0.9412216344614469,0.703261724391271,1.2799861377130295,0.023083571198186714,0.48709770106455386,0.047390022879881144,Black | White,Black=0.481; White=0.511
graphsage_geo,Victim Race,tpr,0.9,28549,0.7102985410525524,0.281814219583204,0.7225092665393688,0.6605565824604641,0.6394797751570594,0.6500181788087618,0.7972855726326227,0.03704376112248142,0.781678481489147,0.5377368238038165,1.0904147872527388,0.015390939963151107,0.3247717352271029,0.047390022879881144,Black | White,Black=0.478; White=0.512
graphsage_geo,Victim Race,tpr,1.0,28549,0.7102985410525524,0.2812580603677648,0.7223205009406677,0.6604025467241733,0.6390389066460928,0.649720726685133,0.7970502571729565,0.02728968640405849,0.5758529906860204,0.3424131296810048,0.8649640370625212,0.005641159603416934,0.1190368617823947,0.047390022879881144,Black | White,Black=0.476; White=0.514
graphsage_geo,Victim Sex,dp,0.0,28549,0.7102985410525524,0.28115133925040076,0.7218881708345041,0.6595810227972889,0.6398104265402843,0.6496957246687867,0.7971949857266973,0.21319663107350129,2.483412061259506,2.175690175305232,2.886697018681266,0.18972621204830786,2.210017864566571,0.08584827077201795,Male | Female,Female=0.500; Male=0.500
graphsage_geo,Victim Sex,dp,0.1,28549,0.7102985410525524,0.2803468060076168,0.7219320415613592,0.6599917847607312,0.6384878210073845,0.6492398028840578,0.7967026155943969,0.1969731281886159,2.294433264843569,1.9859226345431835,2.6720163232013756,0.17472696849430835,2.0352998018832573,0.08584827077201795,Male | Female,Female=0.509; Male=0.498
graphsage_geo,Victim Sex,dp,0.2,28549,0.7102985410525524,0.28018603924245555,0.7211538461538461,0.6585027726432532,0.639920643668026,0.6492117081556397,0.7969798657718121,0.17073032646067898,1.988745083917615,1.7126990006835126,2.309022351885515,0.14977471559336653,1.744644525119372,0.08584827077201795,Male | Female,Female=0.519; Male=0.496
graphsage_geo,Victim Sex,dp,0.3,28549,0.7102985410525524,0.27841702175081634,0.7205667378837288,0.6580406654343808,0.6384878210073845,0.6482642432208827,0.7962226640159046,0.14527104394023727,1.6921836937872023,1.445893756393833,1.9652911196436469,0.12497488940531964,1.455764784560517,0.08584827077201795,Male | Female,Female=0.530; Male=0.494
